EventId,EventTemplate,Occurrences
ca7d7941,loaded properties from hadoop-metrics2.properties,903
9e8ad6ab,Scheduled snapshot period at 10 second(s).,903
d39dd8df,MapTask metrics system <*>,1049
3c5bb15c,Executing with tokens:,903
8ece4dc3,"Kind: mapreduce.job, Service: <*>, Ident: <*>",839
42bce2da,Sleeping for 0ms before retrying again. Got null now.,839
4a1105fa,mapreduce.cluster.local.dir for child: <*>,837
39006874,"session.id is deprecated. Instead, use dfs.metrics.session-id",837
fc4324dd,ProcfsBasedProcessTree currently is supported only on Linux.,836
ce10d82c,Using ResourceCalculatorProcessTree : <*>,836
b063b233,Processing split: <*>,769
f2f6eacf,(EQUATOR) <*> kvi <*>(<*>),5120
599850bf,mapreduce.task.io.sort.mb: 100,769
fefbdbcf,soft limit at <*>,769
8b5eb2a0,bufstart = 0; bufvoid = <*>,769
6e49102f,kvstart = <*>; length = <*>,769
e7eee7f1,Map output collector class = org.apache.hadoop.mapred.MapTask$MapOutputBuffer,769
895d7761,Spilling map output,4947
b7c97b24,bufstart = <*> bufend = <*>; bufvoid = <*>,4947
5d50efee,kvstart = <*>(<*>); kvend = <*>(<*>); length = <*>/<*>,4947
cdf7dd93,Finished spill <*>,4828
7d6dcece,(RESET) equator <*> kv <*>(<*>) kvi <*>(<*>),4238
0491d81f,Starting flush of map output,606
7707888f,Merging <*> sorted segments,640
5be2cae8,"Down to the last merge-pass, with <*> segments left of total size: <*> bytes",640
dfe6ae4e,<*> is done. And is in the process of committing,591
cf0f4f26,Task <*> done.,582
09dbac83,ReduceTask metrics system <*>,81
e223c99a,Using ShuffleConsumerPlugin: <*>,67
efe726a9,"MergerManager: memoryLimit=<*>, maxSingleShuffleLimit=<*>, mergeThreshold=<*>, ioSortFactor=10, memToMemMergeOutputsThreshold=10",67
1ad5a5a0,<*> Thread started: EventFetcher for fetching Map Completion Events,67
1404cebf,<*> Got <*> new map-outputs,387
25269816,Assigning <*> with <*> to <*>,444
32b73354,assigned <*> of <*> to <*> to <*>,444
156223b0,for <*> sent hash and received reply,441
35525cf9,<*> Shuffling to disk since <*> is greater than maxSingleShuffleLimit (<*>),636
9ad20d76,<*> about to shuffle output of map <*> decomp: <*> len: <*> to DISK,633
806d6f9b,Read <*> bytes from map-output for <*>,618
f28f8b0a,<*> freed by <*> in <*>,427
d120a818,EventFetcher is interrupted.. Returning,51
8d376f37,finalMerge called with 0 in-memory map-outputs and <*> on-disk map-outputs,53
105acdeb,"Merging <*> files, <*> bytes from disk",53
ce9ca9c9,"Merging 0 segments, 0 bytes from memory into reduce",53
9789556a,"mapred.skip.on is deprecated. Instead, use mapreduce.job.skiprecords",53
3766cffb,Task <*> is allowed to commit now,45
e967b817,Saved output of task <*> to <*>,45
aa171447,Created MRAppMaster for application <*>,64
