LineId,AppId,Date,Time,Level,Process,Component,Content,EventId,EventTemplate,ParameterList
1,application_1445076437777_0001,2015-10-17,"18:27:21,223",INFO,main,org.apache.hadoop.mapreduce.v2.app.MRAppMaster,Created MRAppMaster for application appattempt_1445076437777_0001_000002,aa171447,Created MRAppMaster for application <*>,[]
2,application_1445076437777_0001,2015-10-17,"18:27:21,989",INFO,main,org.apache.hadoop.mapreduce.v2.app.MRAppMaster,Executing with tokens:,3c5bb15c,Executing with tokens:,[]
3,application_1445076437777_0001,2015-10-17,"18:27:21,989",INFO,main,org.apache.hadoop.mapreduce.v2.app.MRAppMaster,"Kind: YARN_AM_RM_TOKEN, Service: , Ident: (appAttemptId { application_id { id: 1 cluster_timestamp: 1445076437777 } attemptId: 2 } keyId: 291674728)",c849bc2c,"Kind: YARN_AM_RM_TOKEN, Service: , Ident: (appAttemptId { application_id { id: <*> cluster_timestamp: <*> } attemptId: <*> } keyId: <*>",[]
4,application_1445076437777_0001,2015-10-17,"18:27:22,208",INFO,main,org.apache.hadoop.mapreduce.v2.app.MRAppMaster,Using mapred newApiCommitter.,0594ecc2,Using mapred newApiCommitter.,[]
5,application_1445076437777_0001,2015-10-17,"18:27:23,255",INFO,main,org.apache.hadoop.mapreduce.v2.app.MRAppMaster,OutputCommitter set in config null,c0c8618d,OutputCommitter set in config null,[]
6,application_1445076437777_0001,2015-10-17,"18:27:23,333",INFO,main,org.apache.hadoop.mapreduce.v2.app.MRAppMaster,OutputCommitter is org.apache.hadoop.mapreduce.lib.output.FileOutputCommitter,d79644a2,OutputCommitter is org.apache.hadoop.mapreduce.lib.output.FileOutputCommitter,[]
7,application_1445076437777_0001,2015-10-17,"18:27:23,364",INFO,main,org.apache.hadoop.yarn.event.AsyncDispatcher,Registering class org.apache.hadoop.mapreduce.jobhistory.EventType for class org.apache.hadoop.mapreduce.jobhistory.JobHistoryEventHandler,3a2b3aef,Registering class <*> for class <*>,[]
8,application_1445076437777_0001,2015-10-17,"18:27:23,364",INFO,main,org.apache.hadoop.yarn.event.AsyncDispatcher,Registering class org.apache.hadoop.mapreduce.v2.app.job.event.JobEventType for class org.apache.hadoop.mapreduce.v2.app.MRAppMaster$JobEventDispatcher,3a2b3aef,Registering class <*> for class <*>,[]
9,application_1445076437777_0001,2015-10-17,"18:27:23,364",INFO,main,org.apache.hadoop.yarn.event.AsyncDispatcher,Registering class org.apache.hadoop.mapreduce.v2.app.job.event.TaskEventType for class org.apache.hadoop.mapreduce.v2.app.MRAppMaster$TaskEventDispatcher,3a2b3aef,Registering class <*> for class <*>,[]
10,application_1445076437777_0001,2015-10-17,"18:27:23,364",INFO,main,org.apache.hadoop.yarn.event.AsyncDispatcher,Registering class org.apache.hadoop.mapreduce.v2.app.job.event.TaskAttemptEventType for class org.apache.hadoop.mapreduce.v2.app.MRAppMaster$TaskAttemptEventDispatcher,3a2b3aef,Registering class <*> for class <*>,[]
11,application_1445076437777_0001,2015-10-17,"18:27:23,364",INFO,main,org.apache.hadoop.yarn.event.AsyncDispatcher,Registering class org.apache.hadoop.mapreduce.v2.app.commit.CommitterEventType for class org.apache.hadoop.mapreduce.v2.app.commit.CommitterEventHandler,3a2b3aef,Registering class <*> for class <*>,[]
12,application_1445076437777_0001,2015-10-17,"18:27:23,380",INFO,main,org.apache.hadoop.yarn.event.AsyncDispatcher,Registering class org.apache.hadoop.mapreduce.v2.app.speculate.Speculator$EventType for class org.apache.hadoop.mapreduce.v2.app.MRAppMaster$SpeculatorEventDispatcher,3a2b3aef,Registering class <*> for class <*>,[]
13,application_1445076437777_0001,2015-10-17,"18:27:23,380",INFO,main,org.apache.hadoop.yarn.event.AsyncDispatcher,Registering class org.apache.hadoop.mapreduce.v2.app.rm.ContainerAllocator$EventType for class org.apache.hadoop.mapreduce.v2.app.MRAppMaster$ContainerAllocatorRouter,3a2b3aef,Registering class <*> for class <*>,[]
14,application_1445076437777_0001,2015-10-17,"18:27:23,380",INFO,main,org.apache.hadoop.yarn.event.AsyncDispatcher,Registering class org.apache.hadoop.mapreduce.v2.app.launcher.ContainerLauncher$EventType for class org.apache.hadoop.mapreduce.v2.app.MRAppMaster$ContainerLauncherRouter,3a2b3aef,Registering class <*> for class <*>,[]
15,application_1445076437777_0001,2015-10-17,"18:27:23,442",INFO,main,org.apache.hadoop.mapreduce.v2.jobhistory.JobHistoryUtils,Default file system [hdfs://msra-sa-41:9000],7ced323b,Default file system [hdfs://msra-sa-41:9000],[]
16,application_1445076437777_0001,2015-10-17,"18:27:23,473",INFO,main,org.apache.hadoop.mapreduce.v2.jobhistory.JobHistoryUtils,Default file system [hdfs://msra-sa-41:9000],7ced323b,Default file system [hdfs://msra-sa-41:9000],[]
17,application_1445076437777_0001,2015-10-17,"18:27:23,489",INFO,main,org.apache.hadoop.mapreduce.v2.jobhistory.JobHistoryUtils,Default file system [hdfs://msra-sa-41:9000],7ced323b,Default file system [hdfs://msra-sa-41:9000],[]
18,application_1445076437777_0001,2015-10-17,"18:27:23,505",INFO,main,org.apache.hadoop.mapreduce.jobhistory.JobHistoryEventHandler,Emitting job history data to the timeline server is not enabled,3a03968c,Emitting job history data to the timeline server is not enabled,[]
19,application_1445076437777_0001,2015-10-17,"18:27:23,505",INFO,main,org.apache.hadoop.mapreduce.v2.app.MRAppMaster,Recovery is enabled. Will try to recover from previous life on best effort basis.,198f3928,Recovery is enabled. Will try to recover from previous life on best effort basis.,[]
20,application_1445076437777_0001,2015-10-17,"18:27:23,536",INFO,main,org.apache.hadoop.mapreduce.v2.jobhistory.JobHistoryUtils,Default file system [hdfs://msra-sa-41:9000],7ced323b,Default file system [hdfs://msra-sa-41:9000],[]
21,application_1445076437777_0001,2015-10-17,"18:27:23,536",INFO,main,org.apache.hadoop.mapreduce.v2.app.MRAppMaster,Previous history file is at hdfs://msra-sa-41:9000/tmp/hadoop-yarn/staging/msrabi/.staging/job_1445076437777_0001/job_1445076437777_0001_1.jhist,b405651e,Previous history file is at hdfs://msra-sa-41:9000/tmp/hadoop-yarn/staging/msrabi/.staging/<*>/<*>_1.jhist,[]
22,application_1445076437777_0001,2015-10-17,"18:27:24,473",INFO,main,org.apache.hadoop.mapreduce.v2.app.MRAppMaster,Read from history task task_1445076437777_0001_m_000009,f5694858,Read from history task <*>,[]
23,application_1445076437777_0001,2015-10-17,"18:27:24,473",INFO,main,org.apache.hadoop.mapreduce.v2.app.MRAppMaster,Read completed tasks from history 1,f3eee235,Read completed tasks from history 1,[]
