EventId,EventTemplate,Occurrences
aa171447,Created MRAppMaster for application <*>,5
3c5bb15c,Executing with tokens:,75
c849bc2c,"Kind: YARN_AM_RM_TOKEN, Service: , Ident: (appAttemptId { application_id { id: <*> cluster_timestamp: <*> } attemptId: <*> } keyId: <*>",5
0594ecc2,Using mapred newApiCommitter.,5
c0c8618d,OutputCommitter set in config null,5
d79644a2,OutputCommitter is org.apache.hadoop.mapreduce.lib.output.FileOutputCommitter,5
3a2b3aef,Registering class <*> for class <*>,45
7ced323b,Default file system [hdfs://msra-sa-41:9000],16
3a03968c,Emitting job history data to the timeline server is not enabled,5
198f3928,Recovery is enabled. Will try to recover from previous life on best effort basis.,1
b405651e,Previous history file is at hdfs://msra-sa-41:9000/tmp/hadoop-yarn/staging/msrabi/.staging/<*>/<*>_1.jhist,1
f5694858,Read from history task <*>,1
f3eee235,Read completed tasks from history 1,1
ca7d7941,loaded properties from hadoop-metrics2.properties,75
9e8ad6ab,Scheduled snapshot period at 10 second(s).,75
fc657c96,MRAppMaster metrics system started,5
9c396752,Adding job token for <*> to jobTokenSecretManager,5
ce54fccc,Not uberizing <*> because: not enabled; too many maps; too much input;,5
6ab7d897,Input size for job <*> = <*>. Number of splits = 10,5
6519c35c,Number of reduces for job <*> = 1,5
3514acb4,<*>Job Transitioned from <*> to <*>,21
db930ec6,"MRAppMaster launching normal, non-uberized, multi-container job <*>.",5
916d4a74,Using callQueue class java.util.concurrent.LinkedBlockingQueue,10
192d0e3e,Starting Socket Reader #1 for port <*>,10
8c4d0a72,Adding protocol org.apache.hadoop.mapreduce.v2.api.MRClientProtocolPB to the server,5
73b103d7,IPC Server listener on <*>: starting,10
ccc17099,IPC Server Responder: starting,10
81b07bff,Instantiated MRClientService at <*>,5
a79a1702,Logging to org.slf4j.impl.Log4jLoggerAdapter(org.mortbay.log) via org.mortbay.log.Slf4jLog,5
0859dbfb,Http request log for http.requests.mapreduce is not defined,5
a8927e0e,Added global filter 'safety' (class=org.apache.hadoop.http.HttpServer2$QuotingInputFilter),5
ae2086c0,Added filter AM_PROXY_FILTER (class=org.apache.hadoop.yarn.server.webproxy.amfilter.AmIpFilter) to context <*>,10
c5e95c21,adding path spec: <*>,10
8aa20788,Jetty bound to port <*>,5
6b77fa65,jetty-6.1.26,5
1205e906,Extract jar:file:/D:/hadoop-2.6.0-localbox/share/hadoop/yarn/hadoop-yarn-common-2.6.0-SNAPSHOT.jar!/webapps/mapreduce to <*>,5
37897a89,Started HttpServer2$SelectChannelConnectorWithSafeStartup@<*>:<*>,5
01425cf2,Web app /mapreduce started at <*>,5
5ba9445a,Registered webapp guice modules,5
6af6b73e,JOB_CREATE <*>,5
8b1732f5,nodeBlacklistingEnabled:true,5
17dc3b51,maxTaskFailuresPerNode is 3,5
93a481e4,blacklistDisablePercent is 33,5
c7f3ffdf,Connecting to ResourceManager at msra-sa-41/<*>:8030,5
d0cf8682,"maxContainerCapability: <memory:8192, vCores:32>",5
62365dbe,queue: default,5
361211a0,Upper limit on the thread pool size is 500,5
2b3d75c5,yarn.client.max-cached-nodemanagers-proxies : 0,5
8825a75c,Processing the event EventType: <*>,22
6659e8b0,Resolved <*> to /default-rack,262
3be0b589,<*> Task Transitioned from <*> to <*>,143
a4f4ef26,"Recovering task <*> from prior app attempt, status was SUCCEEDED",1
c1fd6443,TaskAttempt: <*> using containerId: <*> on NM: <*>,80
63fbbb87,<*> TaskAttempt Transitioned from <*> to <*>,355
007ded00,Task succeeded with attempt <*>,35
954065f5,"Event Writer setup for JobId: <*>, File: <*>",5
3a2741bf,Num completed Tasks: <*>,35
5f986200,"mapResourceRequest:<memory:1024, vCores:1>",5
3da042e6,"reduceResourceRequest:<memory:1024, vCores:1>",5
f1d41a8b,Before Scheduling: <*> <*> ScheduledReds:0 <*> <*> CompletedMaps:1 CompletedReds:0 <*> ContRel:0 <*> RackLocal:0,2
c931b425,getResources() for application_<*>_0001: <*> release= 0 <*> finishedContainers=0 <*> <*> <*>,24
bae0e03b,"Recalculating schedule, <*> <*>",167
ec6b84b4,Reduce slow start threshold reached. Scheduling reduces.,5
20df12d4,"completedMapPercent 0.1 totalResourceLimit:<memory:<*>, vCores:-2> finalMapResourceLimit:<memory:9216, vCores:9> finalReduceResourceLimit:<memory:<*>, vCores:-11> netScheduledMapResource:<memory:9216, vCores:9> netScheduledReduceResource:<memory:0, vCores:0>",1
6ed15688,Ramping up 1,4
2052de59,After Scheduling: PendingReds:0 <*> <*> <*> <*> CompletedMaps:1 CompletedReds:0 <*> ContRel:0 <*> RackLocal:0,3
0f71bb1f,Got allocated containers <*>,57
5e5f5ff9,Assigned container <*> to <*>,79
7a1247db,The job-jar file on the remote FS is hdfs://msra-sa-41:9000/tmp/hadoop-yarn/staging/msrabi/.staging/<*>/job.jar,5
7863e753,The job-conf file on the remote FS is /tmp/hadoop-yarn/staging/msrabi/.staging/<*>/job.xml,5
60d079c6,Adding #0 tokens and #1 secret keys for NM use for launching container,5
a83c59ee,Size of containertokens_dob is 1,5
944f8887,Putting shuffle token in serviceData,5
9f1747b1,Processing the event EventType: <*> for container <*> taskAttempt <*>,131
937a6ff8,Launching attempt_<*>_0001_m_000001_1000,1
13d7e1b6,Launching attempt_<*>_0001_m_000006_1000,1
0725fe43,Launching attempt_<*>_0001_m_000002_1000,1
55ae9596,Launching attempt_<*>_0001_m_000007_1000,1
f079c7b6,Launching attempt_<*>_0001_m_000000_1000,1
b9b98c01,Launching attempt_<*>_0001_m_000008_1000,1
d100d85f,Launching attempt_<*>_0001_m_000004_1000,1
29a3a595,Launching attempt_<*>_0001_m_000003_1000,1
ba81ed85,Launching attempt_<*>_0001_m_000005_1000,1
fc9ef42a,Opening proxy : <*>,131
f4ac93f2,Shuffle port returned by ContainerManager for <*> : <*>,79
e215e532,ATTEMPT_START <*>,79
ff65c706,Assigned to reduce,5
b1aa8b2d,Launching attempt_<*>_0001_r_000000_1000,1
71c7c3bf,Auth successful for <*> (auth:SIMPLE),95
60675cee,JVM with ID : <*> asked for a task,79
2a1c144a,JVM with ID: <*> given task: <*>,79
c78095d6,MapCompletionEvents request from <*> startIndex <*> maxEvents <*>,789
be4da74d,DefaultSpeculator.addSpeculativeAttempt -- we are speculating <*>,30
1a8c09a8,Scheduling a redundant attempt for task <*>,22
ebb03fa4,We launched 1 speculations. Sleeping <*> milliseconds.,30
3670935b,Progress of TaskAttempt <*> is : <*>,3555
eaac77da,After Scheduling: PendingReds:0 ScheduledMaps:0 ScheduledReds:0 <*> AssignedReds:1 <*> CompletedReds:0 <*> <*> <*> <*>,49
50f0d272,Launching attempt_<*>_0001_m_000008_1001,1
d50045aa,Before Scheduling: PendingReds:0 ScheduledMaps:1 ScheduledReds:0 <*> AssignedReds:1 <*> CompletedReds:0 <*> <*> <*> <*>,16
e53592bf,Launching attempt_<*>_0001_m_000002_1001,1
48500c4a,Launching attempt_<*>_0001_m_000000_1001,1
d39dd8df,MapTask metrics system <*>,91
8ece4dc3,"Kind: mapreduce.job, Service: <*>, Ident: <*>",70
42bce2da,Sleeping for 0ms before retrying again. Got null now.,70
4a1105fa,mapreduce.cluster.local.dir for child: <*>,70
